portugues,ingles,espanhol
"Gestão de Produção","Production Management","Gestión de Producción"
"Unidade da franquia","Franchise location","Unidad de la franquicia"
"E-mail","Email","Correo electrónico"
"Entrar na unidade","Sign in to this location","Entrar en la unidad"
"Esqueceu a senha?","Forgot your password?","¿Olvidó su contraseña?"
"Recuperar acesso","Reset access","Recuperar acceso"
"Entrando…","Signing in…","Entrando…"
"App de Produção","Production App","App de Producción"
"App de Gestão","Management App","App de Gestión"
"Visão geral","Overview","Visión general"
"Em produção agora","In production now","En producción ahora"
"Próxima instalação","Next installation","Próxima instalación"
"Todos os trabalhos","All jobs","Todos los trabajos"
"Visão do mês","This month","Visión del mes"
"Equipe do mês","Team this month","Equipo del mes"
"Trabalhos no mês","Jobs this month","Trabajos del mes"
"Prontos p/ instalar","Ready to install","Listos para instalar"
"Em produção","In production","En producción"
"Cliente / Endereço","Client / Address","Cliente / Dirección"
"a definir","to be set","por definir"
"aberto pela gestão em","opened by management on","abierto por gestión el"
"Foto de referência","Reference photo","Foto de referencia"
"Sem foto de referência","No reference photo","Sin foto de referencia"
"Fotos do local","Site photos","Fotos del lugar"
"Fotos das medidas","Measurement photos","Fotos de las medidas"
"Adicionar fotos","Add photos","Agregar fotos"
"Adicionar medida","Add measurement","Agregar medida"
"Enviar foto","Upload photo","Subir foto"
"Enviar medida","Upload measurement","Subir medida"
"Salvar observação","Save note","Guardar observación"
"Nenhuma observação ainda.","No notes yet.","Ninguna observación aún."
"Resultado do mês","Month results","Resultado del mes"
"Custos totais","Total costs","Costos totales"
"Margem média","Average margin","Margen promedio"
"Maiores margens","Best margins","Mejores márgenes"
"Trabalhos e resultado","Jobs and results","Trabajos y resultado"
"Novo projeto","New project","New proyecto"
"Financeiro do projeto","Project financials","Financiero del proyecto"
"Somente Gestão","Management only","Management only"
"Custo de insumo (material)","Material cost","Costo de insumo (material)"
"Custo de fabricação","Fabrication cost","Costo de fabricación"
"Custo de instalação","Installation cost","Costo de instalación"
"de margem","margin","de margen"
"em custos","in costs","en costos"
"Abrir novo projeto","Open new project","Abrir nuevo proyecto"
"Nome do cliente","Client name","Nombre del cliente"
"O que será feito","What will be done","Qué se hará"
"Abrir projeto","Open project","Abrir proyecto"
"Equipe da unidade","Location team","Equipo de la unidad"
"Adicionar pessoa","Add person","Agregar persona"
"Editar pessoa","Edit person","Editar persona"
"Nome completo","Full name","Nombre completo"
"Função na obra","Trade","Función en la obra"
"Nível de acesso","Access level","Nivel de acceso"
"Fabricante e instalador","Fabricator and installer","Fabricante e instalador"
"Tirar da equipe","Remove from team","Quitar del equipo"
"Trazer de volta","Bring back","Traer de vuelta"
"Fora da equipe","Off the team","Fuera del equipo"
"Por fabricante","By fabricator","Por fabricante"
"Confira antes de produzir","Check before producing","Verifique antes de producir"
"Meus recebimentos","My earnings","Mis cobros"
"você","you","usted"
"A receber nesta semana","Due this week","A cobrar esta semana"
"A receber neste mês","Due this month","A cobrar este mes"
"Já recebido no mês","Received this month","Ya cobrado en el mes"
"A receber no total","Due in total","A cobrar en total"
"Você recebe","You get","Usted recibe"
"Você recebeu","You were paid","Usted recibió"
"A receber","Due","A cobrar"
"Marcar como pago","Mark as paid","Marcar como pagado"
"Entrar","Sign in","Entrar"
"Senha","Password","Contraseña"
"Idioma","Language","Idioma"
"Produção","Production","Producción"
"Gestão","Management","Gestión"
"Trabalhos","Jobs","Trabajos"
"Equipe","Team","Equipo"
"Sair","Sign out","Salir"
"Instalados","Installed","Instalados"
"Pendente","Pending","Pendiente"
"Pronto","Ready","Listo"
"Instalado","Installed","Instalado"
"Referência","Reference","Referencia"
"Qtd","Qty","Cant."
"Fabricante","Fabricator","Fabricante"
"Instalador","Installer","Instalador"
"Fotos","Photos","Fotos"
"Instalação","Installation","Instalación"
"Status","Status","Estado"
"Voltar","Back","Volver"
"Projeto","Project","Proyecto"
"Quantidade","Quantity","Cantidad"
"Salvar","Save","Guardar"
"Salvo","Saved","Guardado"
"Andamento","Progress","Avance"
"largura","width","ancho"
"altura","height","alto"
"comprimento","length","largo"
"Observações","Notes","Observaciones"
"Faturamento","Revenue","Facturación"
"Lucro","Profit","Ganancia"
"Custos","Costs","Costos"
"Margem","Margin","Margen"
"Valor","Amount","Importe"
"Endereço","Address","Dirección"
"Unidade","Unit","Unidad"
"Cancelar","Cancel","Cancelar"
"Editar","Edit","Editar"
"Telefone","Phone","Teléfono"
"Fabricou","Fabricated","Fabricó"
"Instalou","Installed","Instaló"
"Resultado","Results","Resultado"
"Período","Period","Período"
"Semana","Week","Semana"
"Mês","Month","Mes"
"Total","Total","Total"
"Pago","Paid","Pagado"
